geolocation_zip_code_prefix,distance_km
1454,873.4550220633796
1426,871.5781346688713
1413,871.2873696179813
1433,873.7074407550343
1427,872.9087370793816
1405,872.2582596337494
1435,873.4482855626628
1449,872.8916199428204
1425,872.7839090890604
1430,906.8975167924125
1404,872.5823527918885
1442,871.6104088337249
1407,873.2293817810654
1418,871.8446331870622
1472,872.1081521016023
1443,871.8787157097016
1428,873.2596135108448
1434,873.2580172250051
1457,873.0214821439022
1412,871.823121154006
1448,873.0656845018419
1456,872.9978219995537
1432,872.9584707145527
1441,872.6954931568218
1489,872.8372584106222
1429,873.0664805696013
1450,872.6852060260876
1440,871.7098579761584
1438,872.371419320089
1444,875.1323134881362
1436,872.7093386234349
1447,872.4897303627486
1439,871.9226244658963
1431,873.3895740415633
1437,872.492399429153
1526,872.6868051830629
1509,872.6741719378396
1504,872.1976551927859
1536,872.3363381382579
1535,873.0681139893662
1511,871.4105354336435
1534,872.3442321569759
1514,871.2128891095989
1529,872.8433470559913
1539,873.5942531448339
1532,873.1518085123847
1542,873.2601604061335
1548,874.1897611729038
1543,873.8179092016286
1544,873.8992072560729
1546,873.8350757997042
1523,872.5094539638279
1506,872.0520990279635
1518,871.9322987037057
1510,871.4613143698863
1537,873.0508017861673
1531,872.9967138042614
1549,874.0385657174803
1533,873.1182671566746
1525,872.5768128907209
1520,872.0418159539515
1550,873.4917891973791
1503,871.3485634112939
1541,873.0704243934582
1545,874.4684165620196
1522,872.0808221306969
1508,871.8945353590224
1519,872.0754244045338
1547,874.4517371088888
1538,873.4930279934608
1501,870.9582012955045
1521,872.0975418703198
1530,873.2543128851073
1505,871.3831889754508
1502,871.2917250589145
1551,874.0463605334508
1540,872.5934559247416
1528,872.361288440207
1513,871.5774103141166
1527,872.3329411847448
1524,872.9314893573932
1507,871.7091949975038
1512,871.1956447439727
1552,873.7578867622627
1553,873.8309808956129
1516,872.1324095628943
1517,872.0449762450173
2019,865.2084740300157
2069,866.3867057613658
2067,866.4111716003872
2020,865.237077426533
2075,866.0901997636553
2012,866.3292204351857
2076,866.6482986489577
2035,865.5444246405469
2034,865.9141500735008
2022,865.885220772357
2021,865.2507226323851
2080,865.5255822051419
2066,866.7813211377521
2085,865.3837050854737
2030,865.9832641622243
2064,868.1047917373161
2029,866.7336227654022
2060,867.8706931910598
2054,867.5663807738066
2072,865.8911757286915
2017,865.3743258706089
2018,864.6477023747373
2043,864.516074990864
2074,866.9761800323771
2038,865.3281181225689
2016,865.5288397827442
2040,864.3094104261277
2056,866.9680655060522
2051,867.0678816885994
2041,864.4628646671515
2039,864.690905957206
2073,865.8827105970636
2082,865.1301725965894
2033,865.8271499581383
2013,865.6489165397063
2079,865.8701259854524
2037,865.5595711444518
2083,865.3974803311763
2068,866.0066024143829
2071,866.0546854353443
2047,867.6429178984336
2078,866.2488872517466
2044,865.0854726229903
2084,865.4108912707499
2055,867.1501942826536
2042,864.2477061445362
2045,864.9732291845528
2036,865.7377255965838
2046,864.3424241198825
2010,867.0655681538547
2081,865.4235275473321
2050,867.5047415462241
2052,866.7933410767797
2031,867.0987805606034
2028,866.4035588465599
2065,866.0227259063196
2077,866.0469099745318
2011,865.6447209627573
2049,867.2410337871229
2032,866.6529493008752
2053,866.9937154083586
2009,866.9189921618689
2089,867.4632425494699
2088,865.991012705762
2150,865.9473982556134
2133,866.1500171503599
2167,868.6842200096991
2130,867.0503559527632
2188,867.2802205054008
2152,866.1293363673499
2138,865.8107082115401
2134,866.1716399856273
2176,867.6612451617091
2117,868.1893533293357
2119,867.477647906421
2131,866.4908059520806
2124,866.8976316945265
2129,866.6224197364369
2132,866.0247303873521
2110,868.370937511941
2135,866.193011040984
2127,866.4272961528203
2114,868.50948148899
2178,868.5466651726797
2177,867.6028485950603
2120,867.1098838058604
2161,865.4182018283719
2112,867.4839228458186
2126,866.7651094236121
2169,868.3959946889546
2123,867.423735185814
2189,867.2837301935368
2128,866.4013708185067
2179,868.5608253289365
2136,866.0495448325116
2174,868.8708039920224
